"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","9","4 out of 5 stars","+1"
"2",1,"Austin Ekeler",LAC,"RB2","5","3 out of 5 stars","+3"
"3",1,"Justin Jefferson",MIN,"WR1","13","3 out of 5 stars","-2"
"4",1,"Bijan Robinson",ATL,"RB3","11","4 out of 5 stars","+4"
"5",2,"Ja'Marr Chase",CIN,"WR2","7","4 out of 5 stars","-2"
"6",2,"Saquon Barkley",NYG,"RB4","13","2 out of 5 stars","+4"
"7",2,"Jonathan Taylor",IND,"RB5","11","3 out of 5 stars","+5"
"8",2,"Travis Kelce",KC,"TE1","10","4 out of 5 stars","-2"
"9",2,"Cooper Kupp",LAR,"WR3","10","3 out of 5 stars","-5"
"10",2,"Nick Chubb",CLE,"RB6","5","3 out of 5 stars","+6"
"11",2,"Tyreek Hill",MIA,"WR4","10","3 out of 5 stars","-4"
"12",2,"Josh Jacobs",LV,"RB7","13","3 out of 5 stars","+7"
"13",3,"Derrick Henry",TEN,"RB8","7","4 out of 5 stars","+10"
"14",3,"Tony Pollard",DAL,"RB9","7","3 out of 5 stars","+8"
"15",3,"Stefon Diggs",BUF,"WR5","13","2 out of 5 stars","-6"
"16",3,"CeeDee Lamb",DAL,"WR6","7","2 out of 5 stars","-5"
"17",3,"Rhamondre Stevenson",NE,"RB10","11","2 out of 5 stars","+9"
"18",3,"A.J. Brown",PHI,"WR7","10","3 out of 5 stars","-5"
"19",3,"Davante Adams",LV,"WR8","13","2 out of 5 stars","-5"
"20",3,"Breece Hall",NYJ,"RB11","7","3 out of 5 stars","+9"
"21",3,"Amon-Ra St. Brown",DET,"WR9","9","3 out of 5 stars","-6"
"22",3,"Garrett Wilson",NYJ,"WR10","7","3 out of 5 stars","-5"
"23",3,"Najee Harris",PIT,"RB12","6","3 out of 5 stars","+7"
"24",4,"Jaylen Waddle",MIA,"WR11","10","3 out of 5 stars","-4"
"25",4,"Mark Andrews",BAL,"TE2","13","4 out of 5 stars","+7"
"26",4,"Travis Etienne Jr.",JAC,"RB13","9","2 out of 5 stars","+7"
"27",4,"Tee Higgins",CIN,"WR12","7","4 out of 5 stars","0"
"28",4,"Chris Olave",NO,"WR13","11","4 out of 5 stars","0"
"29",4,"Aaron Jones",GB,"RB14","6","4 out of 5 stars","+16"
"30",4,"DeVonta Smith",PHI,"WR14","10","3 out of 5 stars","-5"
"31",4,"Kenneth Walker III",SEA,"RB15","5","2 out of 5 stars","+8"
"32",4,"Joe Mixon",CIN,"RB16","7","3 out of 5 stars","+14"
"33",4,"Patrick Mahomes II",KC,"QB1","10","3 out of 5 stars","-15"
"34",4,"Josh Allen",BUF,"QB2","13","3 out of 5 stars","-13"
"35",4,"Jahmyr Gibbs",DET,"RB17","9","5 out of 5 stars","+1"
