"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","9","4 out of 5 stars","+2"
"2",1,"Austin Ekeler",LAC,"RB2","5","3 out of 5 stars","+6"
"3",1,"Saquon Barkley",NYG,"RB3","13","2 out of 5 stars","+14"
"4",1,"Bijan Robinson",ATL,"RB4","11","4 out of 5 stars","+6"
"5",1,"Justin Jefferson",MIN,"WR1","13","3 out of 5 stars","-4"
"6",2,"Jonathan Taylor",IND,"RB5","11","3 out of 5 stars","+10"
"7",2,"Travis Kelce",KC,"TE1","10","4 out of 5 stars","-1"
"8",2,"Ja'Marr Chase",CIN,"WR2","7","4 out of 5 stars","-6"
"9",2,"Josh Jacobs",LV,"RB6","13","3 out of 5 stars","+18"
"10",2,"Tony Pollard",DAL,"RB7","7","3 out of 5 stars","+12"
"11",2,"Cooper Kupp",LAR,"WR3","10","3 out of 5 stars","-6"
"12",3,"Tyreek Hill",MIA,"WR4","10","3 out of 5 stars","-8"
"13",3,"Rhamondre Stevenson",NE,"RB8","11","2 out of 5 stars","+13"
"14",3,"Nick Chubb",CLE,"RB9","5","3 out of 5 stars","+4"
"15",3,"Stefon Diggs",BUF,"WR5","13","2 out of 5 stars","-8"
"16",3,"Derrick Henry",TEN,"RB10","7","4 out of 5 stars","+9"
"17",3,"CeeDee Lamb",DAL,"WR6","7","2 out of 5 stars","-6"
"18",3,"Davante Adams",LV,"WR7","13","2 out of 5 stars","-4"
"19",3,"Breece Hall",NYJ,"RB11","7","3 out of 5 stars","+12"
"20",3,"A.J. Brown",PHI,"WR8","10","3 out of 5 stars","-11"
"21",3,"Mark Andrews",BAL,"TE2","13","4 out of 5 stars","+9"
"22",4,"Amon-Ra St. Brown",DET,"WR9","9","3 out of 5 stars","-10"
"23",4,"Najee Harris",PIT,"RB12","6","3 out of 5 stars","+14"
"24",4,"Garrett Wilson",NYJ,"WR10","7","3 out of 5 stars","-11"
"25",4,"Travis Etienne Jr.",JAC,"RB13","9","2 out of 5 stars","+17"
"26",4,"Jaylen Waddle",MIA,"WR11","10","3 out of 5 stars","-11"
"27",4,"Aaron Jones",GB,"RB14","6","4 out of 5 stars","+27"
"28",4,"Tee Higgins",CIN,"WR12","7","4 out of 5 stars","-7"
"29",4,"Chris Olave",NO,"WR13","11","4 out of 5 stars","-9"
"30",4,"DeVonta Smith",PHI,"WR14","10","3 out of 5 stars","-11"
"31",4,"Joe Mixon",CIN,"RB15","7","3 out of 5 stars","+18"
"32",4,"Keenan Allen",LAC,"WR15","5","3 out of 5 stars","+1"
"33",5,"T.J. Hockenson",MIN,"TE3","13","3 out of 5 stars","+18"
"34",5,"Jahmyr Gibbs",DET,"RB16","9","5 out of 5 stars","+4"
"35",5,"Kenneth Walker III",SEA,"RB17","5","2 out of 5 stars","+20"
"36",5,"DK Metcalf",SEA,"WR16","5","3 out of 5 stars","-7"
"37",5,"Patrick Mahomes II",KC,"QB1","10","3 out of 5 stars","-14"
"38",5,"Josh Allen",BUF,"QB2","13","3 out of 5 stars","-10"
"39",5,"Jalen Hurts",PHI,"QB3","10","3 out of 5 stars","-15"
"40",5,"Amari Cooper",CLE,"WR17","5","3 out of 5 stars","-5"
"41",5,"J.K. Dobbins",BAL,"RB18","13","3 out of 5 stars","+17"
"42",5,"Miles Sanders",CAR,"RB19","7","4 out of 5 stars","+24"
"43",5,"Chris Godwin",TB,"WR18","5","4 out of 5 stars","+9"
"44",5,"Dameon Pierce",HOU,"RB20","7","3 out of 5 stars","+25"
"45",6,"Deebo Samuel",SF,"WR19","9","3 out of 5 stars","-11"
"46",6,"Cam Akers",LAR,"RB21","10","3 out of 5 stars","+26"
"47",6,"DJ Moore",CHI,"WR20","13","3 out of 5 stars","0"
"48",6,"Rachaad White",TB,"RB22","5","3 out of 5 stars","+35"
"49",6,"Drake London",ATL,"WR21","11","4 out of 5 stars","-6"
"50",6,"George Kittle",SF,"TE4","9","3 out of 5 stars","+11"
"51",6,"James Conner",ARI,"RB23","14","3 out of 5 stars","+36"
"52",6,"Terry McLaurin",WAS,"WR22","14","3 out of 5 stars","-8"
"53",6,"Calvin Ridley",JAC,"WR23","9","4 out of 5 stars","-21"
"54",6,"D'Andre Swift",PHI,"RB24","10","1 out of 5 stars","+24"
"55",6,"Dallas Goedert",PHI,"TE5","10","2 out of 5 stars","+20"
"56",6,"Jerry Jeudy",DEN,"WR24","9","2 out of 5 stars","-16"
"57",6,"Lamar Jackson",BAL,"QB4","13","3 out of 5 stars","-21"
"58",6,"Michael Pittman Jr.",IND,"WR25","11","4 out of 5 stars","+4"
"59",6,"Joe Burrow",CIN,"QB5","7","3 out of 5 stars","-13"
"60",6,"Tyler Lockett",SEA,"WR26","5","3 out of 5 stars","+4"
"61",6,"Alexander Mattison",MIN,"RB25","13","5 out of 5 stars","-1"
"62",6,"David Montgomery",DET,"RB26","9","5 out of 5 stars","+22"
"63",6,"Christian Watson",GB,"WR27","6","3 out of 5 stars","-24"
"64",6,"Dalvin Cook",FA,"RB27","-","-","+22"
"65",6,"Kyle Pitts",ATL,"TE6","11","3 out of 5 stars","+5"
"66",7,"Christian Kirk",JAC,"WR28","9","4 out of 5 stars","-21"
"67",7,"Mike Williams",LAC,"WR29","5","3 out of 5 stars","-19"
"68",7,"DeAndre Hopkins",FA,"WR30","-","-","-27"
"69",7,"Diontae Johnson",PIT,"WR31","6","3 out of 5 stars","-10"
"70",7,"Brandon Aiyuk",SF,"WR32","9","3 out of 5 stars","-17"
"71",7,"Isiah Pacheco",KC,"RB28","10","4 out of 5 stars","+14"
"72",7,"Marquise Brown",ARI,"WR33","14","3 out of 5 stars","-15"
"73",7,"Javonte Williams",DEN,"RB29","9","4 out of 5 stars","+21"
"74",7,"Justin Fields",CHI,"QB6","13","5 out of 5 stars","-24"
"75",7,"Alvin Kamara",NO,"RB30","11","4 out of 5 stars","+32"
"76",7,"Darren Waller",NYG,"TE7","13","1 out of 5 stars","+5"
"77",7,"Mike Evans",TB,"WR34","5","4 out of 5 stars","-12"
"78",7,"Justin Herbert",LAC,"QB7","5","3 out of 5 stars","-22"
"79",7,"Trevor Lawrence",JAC,"QB8","9","3 out of 5 stars","-12"
"80",7,"Treylon Burks",TEN,"WR35","7","3 out of 5 stars","-12"
"81",7,"James Cook",BUF,"RB31","13","2 out of 5 stars","+12"
"82",7,"Brian Robinson Jr.",WAS,"RB32","14","3 out of 5 stars","+31"
"83",7,"AJ Dillon",GB,"RB33","6","4 out of 5 stars","+18"
"84",7,"Antonio Gibson",WAS,"RB34","14","3 out of 5 stars","+14"
"85",7,"Khalil Herbert",CHI,"RB35","13","5 out of 5 stars","+38"
"86",8,"Evan Engram",JAC,"TE8","9","2 out of 5 stars","+9"
"87",8,"Pat Freiermuth",PIT,"TE9","6","4 out of 5 stars","+24"
"88",8,"Dak Prescott",DAL,"QB9","7","2 out of 5 stars","+11"
"89",8,"Deshaun Watson",CLE,"QB10","5","2 out of 5 stars","-7"
"90",8,"Jahan Dotson",WAS,"WR36","14","3 out of 5 stars","-17"
"91",8,"George Pickens",PIT,"WR37","6","3 out of 5 stars","-15"
"92",8,"Jordan Addison",MIN,"WR38","13","3 out of 5 stars","-18"
"93",8,"Jamaal Williams",NO,"RB36","11","4 out of 5 stars","+33"
"94",8,"David Njoku",CLE,"TE10","5","3 out of 5 stars","+10"
"95",8,"Rashaad Penny",PHI,"RB37","10","1 out of 5 stars","+22"
"96",8,"Samaje Perine",DEN,"RB38","9","4 out of 5 stars","+7"
"97",8,"Damien Harris",BUF,"RB39","13","2 out of 5 stars","+17"
"98",8,"Jaxon Smith-Njigba",SEA,"WR39","5","3 out of 5 stars","-35"
"99",8,"Tua Tagovailoa",MIA,"QB11","10","2 out of 5 stars","-3"
"100",8,"Courtland Sutton",DEN,"WR40","9","2 out of 5 stars","-10"
"101",8,"Kadarius Toney",KC,"WR41","10","2 out of 5 stars","-30"
"102",8,"Brandin Cooks",DAL,"WR42","7","2 out of 5 stars","-22"
"103",8,"Daniel Jones",NYG,"QB12","13","1 out of 5 stars","+9"
"104",8,"JuJu Smith-Schuster",NE,"WR43","11","2 out of 5 stars","+4"
"105",8,"Rashod Bateman",BAL,"WR44","13","3 out of 5 stars","-16"
"106",8,"Dalton Schultz",HOU,"TE11","7","3 out of 5 stars","+28"
"107",8,"Kirk Cousins",MIN,"QB13","13","4 out of 5 stars","-1"
"108",8,"Gabe Davis",BUF,"WR45","13","2 out of 5 stars","-31"
"109",8,"Quentin Johnston",LAC,"WR46","5","3 out of 5 stars","-30"
"110",8,"Jerick McKinnon",KC,"RB40","10","4 out of 5 stars","+19"
"111",8,"Geno Smith",SEA,"QB14","5","2 out of 5 stars","+4"
"112",8,"Jakobi Meyers",LV,"WR47","13","2 out of 5 stars","+6"
"113",8,"Michael Thomas",NO,"WR48","11","4 out of 5 stars","-21"
"114",9,"Elijah Mitchell",SF,"RB41","9","4 out of 5 stars","+8"
