RK,NAME,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,TEAM
1,Justin Jefferson,WR,17,128,184,"1,809",14.1,8,64,28,106.4,0,0,613,80,MIN
2,Tyreek Hill,WR,17,119,170,"1,710",14.4,7,64,25,100.6,1,0,482,77,MIA
3,Davante Adams,WR,17,100,180,"1,516",15.2,14,60,24,89.2,1,0,493,65,LV
4,A.J. Brown,WR,17,88,145,"1,496",17,11,78,23,88,2,2,548,59,PHI
5,Stefon Diggs,WR,16,108,154,"1,429",13.2,11,53,17,89.3,1,0,419,72,BUF
6,CeeDee Lamb,WR,17,107,156,"1,359",12.7,9,39,24,79.9,0,0,486,67,DAL
7,Jaylen Waddle,WR,17,75,117,"1,356",18.1,8,84,21,79.8,1,1,510,60,MIA
8,Travis Kelce,TE,17,110,152,"1,338",12.2,12,52,19,78.7,1,1,648,78,KC
9,DeVonta Smith,WR,17,95,136,"1,196",12.6,7,45,18,70.4,1,1,476,57,PHI
10,Terry McLaurin,WR,17,77,120,"1,191",15.5,5,52,16,70.1,0,0,394,56,WSH
11,Amon-Ra St. Brown,WR,16,106,146,"1,161",11,6,49,11,72.6,0,0,526,68,DET
12,Amari Cooper,WR,17,78,132,"1,160",14.9,9,55,18,68.2,0,0,325,61,CLE
13,Mike Evans,WR,15,77,127,"1,124",14.6,6,63,19,74.9,0,0,216,53,TB
14,Christian Kirk,WR,17,84,133,"1,108",13.2,8,49,18,65.2,1,1,377,54,JAX
15,Garrett Wilson,WR,17,83,147,"1,103",13.3,4,60,13,64.9,1,1,384,56,NYJ
16,DK Metcalf,WR,17,90,141,"1,048",11.6,6,54,11,61.6,2,2,217,47,SEA
17,JaMarr Chase,WR,12,87,134,"1,046",12,9,60,13,87.2,2,2,436,58,CIN
18,Chris Olave,WR,15,72,119,"1,042",14.5,4,53,13,69.5,2,2,210,48,NO
19,Tyler Lockett,WR,16,84,117,"1,033",12.3,9,40,14,64.6,1,1,274,50,SEA
20,Tee Higgins,WR,16,74,109,"1,029",13.9,7,59,14,64.3,0,0,286,46,CIN
21,Chris Godwin,WR,15,104,142,"1,023",9.8,3,44,10,68.2,2,2,531,53,TB
22,Brandon Aiyuk,WR,17,78,114,"1,015",13,8,54,17,59.7,1,1,388,47,SF
23,Jerry Jeudy,WR,15,67,100,972,14.5,6,67,14,64.8,0,0,392,41,DEN
