RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,TEAM
1,Josh Jacobs,RB,17,340,"1,653",4.9,86,7,12,97.2,2,0,93,LV
2,Derrick Henry,RB,16,349,"1,538",4.4,56,10,13,96.1,4,2,65,TEN
3,Nick Chubb,RB,17,302,"1,525",5.1,41,13,12,89.7,1,1,69,CLE
4,Saquon Barkley,RB,16,295,"1,312",4.4,68,9,10,82,1,0,62,NYG
5,Miles Sanders,RB,17,259,"1,269",4.9,40,9,11,74.6,1,1,62,PHI
6,Dalvin Cook,RB,17,264,"1,173",4.4,81,5,8,69,3,3,50,MIN
7,Justin Fields,QB,15,160,"1,143",7.1,67,10,8,76.2,9,0,65,CHI
8,Christian McCaffrey,RB,17,244,"1,139",4.7,49,9,8,67,1,0,59,SF/CAR
9,Travis Etienne Jr.,RB,17,220,"1,125",5.1,62,8,5,66.2,3,3,52,JAX
10,Aaron Jones,RB,17,213,"1,121",5.3,36,6,2,65.9,3,1,54,GB
11,Jamaal Williams,RB,17,262,"1,066",4.1,58,4,17,62.7,3,2,65,DET
12,Kenneth Walker III,RB,15,228,"1,050",4.6,74,10,9,70,0,0,51,SEA
13,Rhamondre Stevenson,RB,17,210,"1,040",5,49,7,5,61.2,2,1,49,NE
14,Tyler Allgeier,RB,16,210,"1,035",4.9,44,6,3,64.7,0,0,53,ATL
15,Najee Harris,RB,17,272,"1,034",3.8,36,1,7,60.8,2,1,45,PIT
16,Tony Pollard,RB,16,193,"1,007",5.2,57,9,9,62.9,0,0,46,DAL
17,Dameon Pierce,RB,13,220,939,4.3,75,7,4,72.2,4,2,54,HOU
18,Austin Ekeler,RB,17,204,915,4.5,72,4,13,53.8,3,2,46,LAC
19,DOnta Foreman,RB,17,203,914,4.5,60,8,5,53.8,1,0,45,CAR
20,Alvin Kamara,RB,15,223,897,4,27,3,2,59.8,2,2,40,NO
21,Raheem Mostert,RB,16,181,891,4.9,67,6,3,55.7,1,1,44,MIA
22,Ezekiel Elliott,RB,15,231,876,3.8,27,5,12,58.4,0,0,52,DAL
23,Jonathan Taylor,RB,11,192,861,4.5,66,5,4,78.3,3,3,39,IND
24,Jeff Wilson Jr.SF/,RB,16,176,860,4.9,41,7,5,53.8,2,1,44,MIA
25,Isiah Pacheco,RB,17,170,830,4.9,31,3,5,48.8,3,2,37,KC
26,Devin Singletary,RB,16,177,819,4.6,33,5,5,51.2,3,3,42,BUF
27,Joe Mixon,RB,14,210,814,3.9,40,4,7,58.1,0,0,47,CIN
28,David Montgomery,RB,16,201,801,4,28,2,5,50.1,1,1,41,CHI
29,Brian Robinson Jr.,RB,12,205,797,3.9,24,2,2,66.4,2,0,49,WSH
30,Cam Akers,RB,15,188,786,4.2,42,3,7,52.4,2,2,39,LAR
31,James Conner,RB,13,183,782,4.3,23,3,7,60.2,3,1,48,ARI
32,AJ Dillon,RB,17,186,770,4.1,27,3,7,45.3,0,0,47,GB
33,Lamar Jackson,QB,12,112,764,6.8,79,5,3,63.7,4,1,46,BAL
34,Josh Allen,QB,16,124,762,6.1,44,8,7,47.6,8,2,55,BUF
35,Latavius Murray,RB,13,171,760,4.4,52,5,6,58.5,1,0,44,NO/DEN
35,Jalen Hurts,QB,15,165,760,4.6,42,7,13,50.7,5,0,67,PHI
37,Khalil Herbert,RB,13,129,731,5.7,63,4,4,56.2,0,0,26,CHI
38,Daniel Jones,QB,16,120,708,5.9,25,4,7,44.3,2,1,57,NYG
39,Cordarrelle Patterson,RB,13,144,695,4.8,40,4,8,53.5,1,1,39,ATL
40,Leonard Fournette,RB,16,189,668,3.5,23,1,3,41.8,0,0,39,TB
41,Taysom Hil,TE,16,96,575,6,60,3,7,35.9,1,0,34,lNO
42,Antonio Gibson,RB,15,149,546,3.7,20,1,3,36.4,1,0,32,WSH
43,DAndre Swift,RB,14,99,542,5.5,50,3,5,38.7,0,0,21,DET
44,J.K. Dobbins,RB,8,92,520,5.7,44,4,2,65,0,0,26,BAL
45,James Cook,RB,16,89,507,5.7,33,6,2,31.7,1,1,24,BUF
46,Kenyan Drake,RB,12,109,482,4.4,40,5,4,40.2,1,0,21,BAL
47,Rachaad White,RB,17,129,481,3.7,35,2,1,28.3,1,1,27,TB
48,Kareem Hunt,RB,17,123,468,3.8,24,2,3,27.5,1,0,30,CLE
49,Chuba Hubbard,RB,15,95,466,4.9,35,3,2,31.1,0,0,23,CAR
50,Breece Hall,RB,7,80,463,5.8,62,3,4,66.1,0,0,20,NYJ
51,Damien Harris,RB,11,106,462,4.4,30,2,3,42,0,0,23,NE
52,Zack Moss,RB,13,93,456,4.9,43,2,1,35.1,1,1,18,IND/BUF
53,Marcus Mariota,QB,13,85,438,5.2,30,4,4,33.7,5,2,30,ATL
54,Gus Edwards,RB,9,87,433,5,37,3,3,48.1,1,1,30,BAL
55,James Robinson,RB,11,110,425,3.9,50,4,3,38.6,1,0,22,JAX/NYJ
56,Kyler Murray,QB,11,67,418,6.2,42,3,3,38,6,2,23,ARI
57,Michael Carter,RB,16,114,402,3.5,25,3,3,25.1,1,1,14,NYJ
58,Samaje Perine,RB,16,95,394,4.1,29,1,2,24.6,0,0,19,CIN
